ITEMTYPE,ITEMID,COLOR,MAXPRICE,MINQTY,CONDITION,NOTIFY,QTYFILLED,REMARKS
P,41769,156,-1.0000,1,X,N,,
P,3660,156,-1.0000,1,X,N,,
P,3941,15,-1.0000,1,X,N,,
P,30414,86,-1.0000,1,X,N,,
P,47755,86,-1.0000,1,X,N,,
P,22885,86,-1.0000,1,X,N,,
P,41769,7,-1.0000,2,X,N,,
P,3710,86,-1.0000,2,X,N,,
P,41748,1,-1.0000,2,X,N,,
P,42918,1,-1.0000,2,X,N,,
P,43710,1,-1.0000,2,X,N,,
P,44126,1,-1.0000,1,X,N,,
P,11833,11,-1.0000,1,X,N,,
P,11833,34,-1.0000,1,X,N,,
P,43711,1,-1.0000,2,X,N,,
P,50955,1,-1.0000,2,X,N,,
P,50956,1,-1.0000,2,X,N,,
P,3069b,11,-1.0000,2,X,N,,
P,44728,11,-1.0000,2,X,N,,
P,3020,1,-1.0000,2,X,N,,
P,3666,156,-1.0000,2,X,N,,
P,4733,85,-1.0000,2,X,N,,
P,6541,11,-1.0000,2,X,N,,
P,x346,1,-1.0000,2,X,N,,
P,41677,11,-1.0000,2,X,N,,
P,47905,86,-1.0000,2,X,N,,
P,15573,1,-1.0000,2,X,N,,
P,15573,86,-1.0000,2,X,N,,
P,3794a,11,-1.0000,2,X,N,,
P,50950,11,-1.0000,2,X,N,,
P,54657,85,-1.0000,6,X,N,,
P,26604,1,-1.0000,6,X,N,,
P,3001,1,-1.0000,6,X,N,,
P,3710,156,-1.0000,4,X,N,,
P,3937,86,-1.0000,3,X,N,,
P,3938,86,-1.0000,3,X,N,,
P,3747b,11,-1.0000,3,X,N,,
P,98138,156,-1.0000,4,X,N,,
P,32073,11,-1.0000,3,X,N,,
P,3660,86,-1.0000,3,X,N,,
P,3737,11,-1.0000,4,X,N,,
P,41677,86,-1.0000,4,X,N,,
P,41766,11,-1.0000,5,X,N,,
P,50950,86,-1.0000,4,X,N,,
P,87087,1,-1.0000,4,X,N,,
P,4032,1,-1.0000,4,X,N,,
P,4274,86,-1.0000,4,X,N,,
P,4081b,1,-1.0000,4,X,N,,
P,54200,156,-1.0000,4,X,N,,
P,6091,1,-1.0000,4,X,N,,
P,6091,11,-1.0000,4,X,N,,
P,13547,11,-1.0000,2,X,N,,
P,3941,16,-1.0000,4,X,N,,
P,3941,34,-1.0000,4,X,N,,
P,2456,1,-1.0000,2,X,N,,
P,6134,86,-1.0000,2,X,N,,
P,42022,11,-1.0000,2,X,N,,
P,42022,15,-1.0000,2,X,N,,
P,98138,1,-1.0000,4,X,N,,
P,2450,1,-1.0000,2,X,N,,
P,2450,34,-1.0000,2,X,N,,
P,2450,156,-1.0000,2,X,N,,
P,3021,59,-1.0000,2,X,N,2,
P,3660,4,-1.0000,2,X,N,2,
P,3660,59,-1.0000,2,X,N,2,
P,3660,63,-1.0000,2,X,N,2,
P,41531,4,-1.0000,2,X,N,2,
P,47755,110,-1.0000,2,X,N,2,
P,41531,59,-1.0000,2,X,N,1,
P,30383,85,-1.0000,14,X,N,,
P,4073,12,-1.0000,2,X,N,2,
P,4073,17,-1.0000,2,X,N,2,
P,4073,19,-1.0000,2,X,N,2,
P,30602,15,-1.0000,2,X,N,2,
P,44728,86,-1.0000,1,X,N,1,
P,54200,5,-1.0000,2,X,N,2,
P,47755,115,-1.0000,1,X,N,1,
P,99780,85,-1.0000,2,X,N,2,
P,36841,86,-1.0000,2,X,N,2,
P,32526,1,-1.0000,2,X,N,2,
P,4855,1,-1.0000,1,X,N,1,
P,4871,1,-1.0000,2,X,N,2,
P,32524,1,-1.0000,2,X,N,2,
P,41764,86,-1.0000,1,X,N,1,
P,41747,1,-1.0000,3,X,N,1,
P,2412b,1,-1.0000,2,X,N,2,
P,2412b,115,-1.0000,2,X,N,2,
P,3069b,115,-1.0000,2,X,N,2,
P,43712,1,-1.0000,1,X,N,1,
P,45705,13,-1.0000,1,X,N,1,
P,64225,11,-1.0000,1,X,N,1,
P,72454,1,-1.0000,1,X,N,1,
P,41770,7,-1.0000,3,X,N,1,
P,41531,34,-1.0000,1,X,N,1,
P,55981,1,-1.0000,2,X,N,1,
P,93606,156,-1.0000,1,X,N,1,
P,43722,153,-1.0000,2,X,N,1,
P,43723,34,-1.0000,2,X,N,1,
P,2654,86,-1.0000,15,X,N,,
P,3003,1,-1.0000,6,X,N,,
P,25269,11,-1.0000,8,X,N,,
P,65617,1,-1.0000,18,X,N,,
P,3021,156,-1.0000,10,X,N,,
P,32000,86,-1.0000,10,X,N,,
P,32064,86,-1.0000,12,X,N,,
P,32523,86,-1.0000,6,X,N,,
P,54200,1,-1.0000,12,X,N,,
P,54200,86,-1.0000,12,X,N,,
P,87087,86,-1.0000,8,X,N,,
P,3020,156,-1.0000,10,X,N,,
P,3070b,156,-1.0000,8,X,N,,
P,43898,11,-1.0000,8,X,N,,
P,11477,1,-1.0000,6,X,N,,
P,44302b,11,-1.0000,8,X,N,,
P,44302b,86,-1.0000,8,X,N,,
P,35394,15,-1.0000,8,X,N,,
P,27925,156,-1.0000,16,X,N,,
P,3020,34,-1.0000,8,X,N,,
P,3023,34,-1.0000,32,X,N,,
P,3710,34,-1.0000,16,X,N,,
P,11213,34,-1.0000,10,X,N,,
P,2654,85,-1.0000,6,X,N,,
P,3002,1,-1.0000,6,X,N,,
P,3023,1,-1.0000,10,X,N,,
P,4032,11,-1.0000,16,X,N,,
P,4032,34,-1.0000,20,X,N,,
P,3070b,14,-1.0000,7,X,N,7,
P,3069b,5,-1.0000,8,X,N,8,
P,3069b,14,-1.0000,4,X,N,4,
P,3069b,17,-1.0000,4,X,N,4,
P,3069b,18,-1.0000,4,X,N,4,
P,3020,11,-1.0000,6,X,N,6,
P,3021,4,-1.0000,4,X,N,4,
P,3021,63,-1.0000,4,X,N,4,
P,4589,4,-1.0000,4,X,N,4,
P,4589,5,-1.0000,4,X,N,4,
P,4589,7,-1.0000,4,X,N,4,
P,6558,11,-1.0000,12,X,N,12,
P,41531,11,-1.0000,31,X,N,16,
P,41531,63,-1.0000,10,X,N,8,
P,3070b,17,-1.0000,4,X,N,4,
P,3070b,19,-1.0000,4,X,N,4,
P,2412b,86,-1.0000,12,X,N,10,
P,3069b,7,-1.0000,8,X,N,8,
P,3069b,110,-1.0000,4,X,N,4,
P,43722,5,-1.0000,10,X,N,9,
P,43722,7,-1.0000,12,X,N,11,
P,43722,110,-1.0000,8,X,N,8,
P,43723,5,-1.0000,5,X,N,4,
P,43723,7,-1.0000,12,X,N,10,
P,43723,110,-1.0000,10,X,N,10,
P,47755,5,-1.0000,7,X,N,6,
P,47755,7,-1.0000,13,X,N,11,
P,61678,5,-1.0000,16,X,N,12,
P,61678,110,-1.0000,4,X,N,4,
P,85984,86,-1.0000,12,X,N,12,
P,93606,11,-1.0000,31,X,N,20,
P,2436b,86,-1.0000,12,X,N,12,
P,99780,86,-1.0000,12,X,N,12,
P,3701,11,-1.0000,12,X,N,12,
P,3839b,11,-1.0000,6,X,N,6,
P,61678,7,-1.0000,25,X,N,17,
P,61678,86,-1.0000,12,X,N,8,
P,2436,86,-1.0000,12,X,N,12,
P,3660,7,-1.0000,4,X,N,4,
P,4073,15,-1.0000,20,X,N,16,Three broke (ultrasonic clean when connected??)
P,32556,2,-1.0000,4,X,N,4,
P,41531,1,-1.0000,17,X,N,13,got +5 by mistake
P,41531,5,-1.0000,6,X,N,5,
P,41531,86,-1.0000,3,X,N,3,
P,3069b,63,-1.0000,4,X,N,4,
P,54200,7,-1.0000,4,X,N,4,
P,54200,11,-1.0000,15,X,N,3,
P,54200,14,-1.0000,4,X,N,4,
P,54200,17,-1.0000,4,X,N,4,
P,54200,85,-1.0000,16,X,N,4,
P,61678,3,-1.0000,3,X,N,3,
P,61678,6,-1.0000,4,X,N,4,
P,85984,1,-1.0000,4,X,N,4,
P,85984,5,-1.0000,4,X,N,4,
P,85984,7,-1.0000,4,X,N,4,
P,99207,86,-1.0000,10,X,N,10,
P,36840,86,-1.0000,4,X,N,4,
P,32140,1,-1.0000,4,X,N,4,
P,3660,1,-1.0000,3,X,N,3,
P,2958,86,-1.0000,3,X,N,3,
P,43722,1,-1.0000,12,X,N,8,
P,43723,1,-1.0000,22,X,N,10,
P,47755,1,-1.0000,12,X,N,8,
P,93606,1,-1.0000,4,X,N,4,
P,11291,1,-1.0000,13,X,N,5,
P,2654,1,-1.0000,36,X,N,18,
P,2654,5,-1.0000,16,X,N,14,
P,2654,7,-1.0000,16,X,N,12,
P,2780,11,-1.0000,48,X,N,16,
P,41770,5,-1.0000,12,X,N,11,
P,41769,1,-1.0000,23,X,N,9,
P,41769,5,-1.0000,8,X,N,7,
P,55981,86,-1.0000,28,X,N,21,
P,11291,5,-1.0000,7,X,N,6,
P,11291,7,-1.0000,4,X,N,2,
P,3003,11,-1.0000,29,X,N,12,
P,4073,67,-1.0000,29,X,N,15,
P,41770,1,-1.0000,18,X,N,9,
P,43722,4,-1.0000,4,X,N,4,
P,43723,4,-1.0000,4,X,N,4,
P,11291,6,-1.0000,2,X,N,2,
P,11291,86,-1.0000,3,X,N,3,
P,11477,4,-1.0000,4,X,N,4,
P,11477,5,-1.0000,4,X,N,4,
P,11477,7,-1.0000,4,X,N,4,
P,11477,110,-1.0000,4,X,N,4,
P,3022,156,-1.0000,8,X,N,6,
P,3023,156,-1.0000,36,X,N,4,
P,2654,15,-1.0000,12,X,N,10,
P,2654,98,-1.0000,12,X,N,10,
P,3022,4,-1.0000,10,X,N,8,
P,3941,98,-1.0000,5,X,N,5,
P,4032,4,-1.0000,15,X,N,12,
P,x346,4,-1.0000,6,X,N,6,
P,43722,11,-1.0000,22,X,N,19,
P,43723,11,-1.0000,22,X,N,19,
P,43898,98,-1.0000,40,X,N,18,Three broke (ultrasonic clean when connected??)
P,47755,11,-1.0000,10,X,N,8,
P,61678,4,-1.0000,24,X,N,14,
P,61678,156,-1.0000,17,X,N,10,
P,11291,11,-1.0000,10,X,N,8,
P,25269,4,-1.0000,20,X,N,16,
P,25269,156,-1.0000,20,X,N,16,
P,4073,98,-1.0000,10,X,N,6,Three broke (ultrasonic clean when connected??)
P,93606,4,-1.0000,3,X,N,2,
P,43898,1,-1.0000,32,X,N,20,
P,98138,15,-1.0000,10,X,N,10,
P,98138,98,-1.0000,10,X,N,10,
P,25269,67,-1.0000,4,X,N,4,
P,43898,67,-1.0000,8,X,N,4,
P,4073,16,-1.0000,12,X,N,6,
P,4073,34,-1.0000,18,X,N,8,
P,41770,156,-1.0000,5,X,N,2,
P,43723,153,-1.0000,6,X,N,3,
P,43898,34,-1.0000,8,X,N,4,
P,61678,34,-1.0000,8,X,N,4,
P,93606,153,-1.0000,4,X,N,2,
P,98138,34,-1.0000,16,X,N,8,
P,98138,95,-1.0000,10,X,N,5,
P,15712,11,-1.0000,24,X,N,12,
P,30292,15,-1.0000,6,X,N,3,
P,x346,74,-1.0000,14,X,N,7,
P,x346,95,-1.0000,6,X,N,3,
P,93606,34,-1.0000,4,X,N,2,
P,11213,1,-1.0000,15,X,N,7,
P,11213,11,-1.0000,17,X,N,10,
P,11213,156,-1.0000,10,X,N,6,
P,11213,86,-1.0000,4,X,N,4,
P,x346,11,-1.0000,53,X,N,25,
P,3022,11,-1.0000,46,X,N,32,
P,3023,11,-1.0000,98,X,N,57,
P,3023,86,-1.0000,31,X,N,23,
P,3700,11,-1.0000,90,X,N,54,
P,3700,86,-1.0000,30,X,N,30,
P,3705,11,-1.0000,33,X,N,22,
P,4265c,86,-1.0000,74,X,N,60,
P,4519,86,-1.0000,49,X,N,41,
P,2958,11,-1.0000,50,X,N,36,
P,99780,11,-1.0000,36,X,N,27,
P,99781,11,-1.0000,110,X,N,74,
P,4073,11,-1.0000,86,X,N,54,
P,2412b,67,-1.0000,35,X,N,23,
P,61678,1,-1.0000,53,X,N,33,
P,32064,11,-1.0000,84,X,N,66,
P,24201,11,-1.0000,78,X,N,56,
P,24201,86,-1.0000,49,X,N,24,
P,2654,11,-1.0000,60,X,N,56,
P,4032,156,-1.0000,50,X,N,37,
P,41770,11,-1.0000,40,X,N,28,
P,41769,11,-1.0000,40,X,N,28,
P,61678,11,-1.0000,36,X,N,24,
P,43898,15,-1.0000,32,X,N,22,Three broke (ultrasonic clean when connected??)
